assignment_id,employee_id,project_id,role,hours_logged
1,2,1,sponsor,90
2,4,1,lead,320
3,5,1,contributor,480
4,7,1,contributor,410
5,8,1,contributor,150
6,4,2,lead,260
7,6,2,contributor,505
8,8,2,contributor,470
9,9,2,contributor,180
10,5,3,lead,240
11,6,3,contributor,215
12,7,3,contributor,190
13,9,3,contributor,95
14,3,4,sponsor,120
15,10,4,lead,390
16,11,4,contributor,355
17,10,5,lead,150
18,11,5,contributor,140
19,12,5,contributor,220
20,13,6,lead,280
21,14,6,contributor,410
22,15,7,lead,175
23,16,7,contributor,300
24,17,7,contributor,260
25,18,8,lead,210
26,13,8,contributor,60
